Data Year,Electricity Emissions,Natural Gas Emissions,Fuel Oil 1 Emissions,Fuel Oil 2 Emissions,Fuel Oil 4 Emissions,Fuel Oil 5 and 6 Emissions,Diesel 2 Emissions,Propane Emissions,Kerosene Emissions,District Hot Water Emissions,District Chilled Water Emissions,District Steam Emissions
2015,100.04,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2016,94.94,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2017,89.58,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2018,87.59,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2019,82.26,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2020,83.82,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2021,85.19,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2023,77,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2024,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2025,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2026,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2027,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2028,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2029,84.69,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2030,39.33,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2031,35.4,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2032,31.46,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2033,27.53,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2034,23.6,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2035,19.67,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2036,15.73,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2037,11.8,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2038,7.87,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2039,3.93,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2040,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2041,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2042,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2043,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2044,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2045,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2046,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2047,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2048,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2049,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
2050,0,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,66.4
