BERDO Property Type,count,q1,q2,q3,<20 kbtu/sf Count,<40 kbtu/sf Count,<60 kbtu/sf Count,<80 kbtu/sf Count,<100 kbtu/sf Count,<150 kbtu/sf Count,<250 kbtu/sf Count,<500 kbtu/sf Count,>500 kbtu/sf Count
Assembly,172,41.9,70.3,118.425,13,25,34,28,15,28,24,5,0
College/University,140,47.35,71.55,116.97500000000001,11,14,23,29,22,18,19,2,1
Education,183,53.8,71.7,87.05,7,12,44,50,45,24,1,0,0
Food Sales & Service,33,158.4,205.9,280.2,0,0,0,1,1,4,15,11,0
Healthcare,63,85.3,133.3,315.79999999999995,3,0,5,6,6,14,8,21,0
Lodging,146,57.075,78.4,101.75,3,11,27,33,31,34,5,1,0
Manufacturing/Industrial,31,34.25,62.5,141.7,3,7,5,5,0,4,2,2,3
Multifamily Housing,1367,42.25,59.0,77.15,73,235,393,366,156,108,32,2,1
Office,448,42.375,55.849999999999994,76.47500000000001,14,76,161,100,50,33,11,2,0
Property Type Not Recognized in Database,48,44.7,66.0,110.625,3,8,10,7,6,8,6,0,0
Retail,51,46.0,57.5,92.95,0,10,19,5,8,5,2,2,0
Services,145,61.1,91.3,124.5,8,8,20,26,24,36,17,5,1
Storage,96,13.95,35.25,66.6,33,21,15,9,5,6,4,0,2
Technology/Science,61,158.6,213.2,311.1,0,0,1,1,4,6,24,23,1
