BERDO Property Type,count,q1,q2,q3,<50k sf Count,50k-100k sf Count,150k-250k sf Count,250k-500k sf Count,500k-1M sf Count,>1M sf Count
Assembly,172,22479.75,33684.0,49625.0,130,17,16,4,4,1
College/University,140,28139.0,60050.0,118472.75,60,34,32,11,2,1
Education,183,28558.5,46205.0,93362.0,98,42,38,4,0,1
Food Sales & Service,33,21600.0,38890.0,60953.0,21,10,2,0,0,0
Healthcare,63,45274.0,99634.0,326801.5,19,13,12,14,2,3
Lodging,146,46987.5,81342.5,160267.0,43,44,36,16,6,1
Manufacturing/Industrial,31,38143.0,52224.0,74253.0,15,9,5,1,0,1
Multifamily Housing,1367,19955.0,33000.0,64154.5,920,218,143,66,18,2
Office,448,35042.75,71876.0,175873.5,173,102,88,32,38,15
Property Type Not Recognized in Database,48,20870.25,26307.5,56277.0,33,8,1,5,1,0
Retail,51,28096.0,41060.0,73577.0,33,9,8,0,1,0
Services,145,9940.0,15000.0,28555.0,125,8,4,6,2,0
Storage,96,25375.0,63131.0,130475.0,41,20,29,5,1,0
Technology/Science,61,83556.0,136368.0,275898.0,10,6,27,11,6,0
